Country code,Country,Category,Demographic Group,Rank,Time Spent/User,Formatted,TIme spent change (%)
AUS,Australia,Games / Strategy,18-24,5,1.51x,1.51,0.51
AUS,Australia,Graphics & Design,18-24,6,1.41x,1.41,0.41
AUS,Australia,Entertainment,18-24,7,1.30x,1.30,0.3
AUS,Australia,Social Media,18-24,9,1.24x,1.24,0.24
AUS,Australia,Music,18-24,11,1.15x,1.15,0.15
AUS,Australia,Education,18-24,12,1.12x,1.12,0.12
AUS,Australia,News,18-24,15,1.04x,1.04,0.04
AUS,Australia,Utilities,18-24,17,0.99x,0.99,-0.01
AUS,Australia,Sports,18-24,22,0.88x,0.88,-0.12
AUS,Australia,Food & Drink,18-24,24,0.84x,0.84,-0.16
AUS,Australia,Travel,18-24,26,0.82x,0.82,-0.18
AUS,Australia,Productivity,18-24,27,0.80x,0.80,-0.2
AUS,Australia,Games / Puzzle,18-24,29,0.79x,0.79,-0.21
AUS,Australia,Health & Fitness,18-24,30,0.78x,0.78,-0.22
AUS,Australia,Shopping,18-24,32,0.63x,0.63,-0.37
AUS,Australia,Finance,18-24,33,0.58x,0.58,-0.42
AUS,Australia,Business,18-24,34,0.52x,0.52,-0.48
AUS,Australia,Weather,18-24,35,0.45x,0.45,-0.55
AUS,Australia,Games / Casino,18-24,36,0.45x,0.45,-0.55
AUS,Australia,Business,25-44,1,1.27x,1.27,0.27
AUS,Australia,Games / Casino,25-44,2,1.26x,1.26,0.26
AUS,Australia,Shopping,25-44,3,1.23x,1.23,0.23
AUS,Australia,Food & Drink,25-44,4,1.21x,1.21,0.21
AUS,Australia,Finance,25-44,5,1.21x,1.21,0.21
AUS,Australia,Health & Fitness,25-44,6,1.16x,1.16,0.16
AUS,Australia,Sports,25-44,7,1.13x,1.13,0.13
AUS,Australia,Productivity,25-44,9,1.11x,1.11,0.11
AUS,Australia,Weather,25-44,14,1.07x,1.07,0.07
AUS,Australia,Games / Puzzle,25-44,16,1.04x,1.04,0.04
AUS,Australia,Utilities,25-44,18,1.04x,1.04,0.04
AUS,Australia,Music,25-44,19,1.03x,1.03,0.03
